original_item_id,item_id
Ahmad.spongebobstar2,0
Awesome.Hide2,1
COM.ANTIVIROD.GHAVYS,2
COM.LIMIT.DAY,3
Call.block,4
Cm.zibanewis.hHemati,5
EnglishBook.ExirTeam,6
English_9_grade.golparvar,7
Hadiware.Bulldozer,8
Hadiware.Dots_Boxes,9
Hadiware.Mench,10
Hadiware.Snake_Ladder,11
IQ_Test_Farsi.IQ_Test_Farsi,12
Iranian.Music.Pad.Free,13
Mine.Modern.MineCraft,14
PALANK.COM,15
Pelak.Diamond,16
Quran.karim.book,17
SAMSONG.MOBAIL,18
Sadroid.EstikerPaytakht,19
ShootBalista.EmadXD.ir,20
Telegram.gorohyab,21
abadis.dic,22
abandeg.app,23
abi.asteghlal.good,24
abt.book.s7,25
abt.book.s8,26
adel.babii.danloooder,27
adel.esmatullah.barcodereader,28
adeye.soti.persiandb,29
adib.khan.artfilter,30
adib.khan.sibil,31
afb.simple.paint.free,32
afkhami7e.khoroos.app,33
aghajani.alireza.kidsmode,34
ahmad.haerii.Screenon,35
ai.ghoghnus.voiceassistant,36
ai.replika.app,37
air.Airship2,38
air.BackWars,39
air.BattleofZombies,40
air.ExtraLives,41
air.FleeingtheComplex,42
air.HadosGame1,43
air.HardTime,44
air.PONYSTYLE,45
air.RoyalGames.SweetBabyGirlAtHospital,46
air.SchoolPublic,47
air.SpeedCarRacing,48
air.SuperCity,49
air.WRCareer,50
air.WeekendWarriors,51
air.Wrecked,52
air.YouTestament,53
air.au.com.metro.DumbWaysToDie,54
air.au.com.metro.DumbWaysToDie2,55
air.bg.lan.Monopoli,56
air.bug2,57
air.bugs,58
air.bullstudios.fairyhorsecare,59
air.cellygame.cupcakescookinglesson,60
air.com.A5mgames.icequeenbeautysalon,61
air.com.CookingColorfulCake,62
air.com.FDGEntertainment.BloodyHarry,63
air.com.FDGEntertainment.Lonewolf.gp,64
air.com.FDGEntertainment.StickSquad.gp,65
air.com.GuidepubgMbestTipsTricks.SubuhberkahDev,66
air.com.IceCreamCakeMaker,67
air.com.SuperCarWash,68
air.com.aceviral.motox3m,69
air.com.aceviral.mutantfightingcup2,70
air.com.adobe.connectpro,71
air.com.arsnetworks.poems.hafez,72
air.com.azerion.trollfacequesthorror3,73
air.com.babyhazel.babyhazelcinderellastory,74
air.com.ber.escapetheprison,75
air.com.bmapps.babyevadaycare,76
air.com.crescentmoongames.optical,77
air.com.eldring.cvc,78
air.com.flazm.bobtherobber3,79
air.com.gaetanoconsiglio.EscapePrison,80
air.com.gamebrain.hocus,81
air.com.girlsgames000.cookingchocolatecake,82
air.com.goodgamestudios.empirefourkingdoms,83
air.com.grantech.towers,84
air.com.hypah.io.slither,85
air.com.inkagames.gravity.saw.game,86
air.com.koo.charmingtracybraidedhairsalon,87
air.com.lhachatbawg.morsolhalm,88
air.com.lunime.gachalife,89
air.com.madpuffers.football,90
air.com.midjiwan.polytopia,91
air.com.mobigrow.canyouescape,92
air.com.mobigrow.canyouescapetower,93
air.com.mobigrow.escape,94
air.com.noxgames.PuppetFootballLeagueSpain,95
air.com.noxgames.PuppetHockey,96
air.com.noxgames.PuppetSoccer2014,97
air.com.noxgames.PuppetSoccerChampions,98
air.com.oranginalplan.weaphonesfree,99
air.com.oranginalplan.weaphonesvol2free,100
air.com.oranginalplan.weaphonesww2free,101
air.com.pixelstudio8.venom.angry.crash.rush.io.online,102
air.com.ppllaayy.tfqsports,103
air.com.puffballsunited.escapingtheprison,104
air.com.sakankahfaojkddkjldfj.tsfdkjhjdf,105
air.com.sfakartakmakargadrfgugjhkj.dfikfhgdsd,106
air.com.spilgames.TrollFaceQuestClassic,107
air.com.spilgames.TrollFaceQuestHorror,108
air.com.spilgames.TrollFaceQuestInternetMemes,109
air.com.spilgames.TrollFaceQuestTVShows,110
air.com.spilgames.TrollFaceQuestVideoGames,111
air.com.spilgames.TrollFaceQuestVideoGames2,112
air.com.spilgames.TrollFaceQuestVideoMemes,113
